difficulty,n_pass,pass_rate,n_score,mean_score
5.0,97,0.711340206185567,98,0.6979591836734693
5.5,98,0.7040816326530612,98,0.701530612244898
6.0,98,0.8163265306122449,98,0.7448979591836735
6.5,98,0.6632653061224489,98,0.6964285714285714
7.0,98,0.6326530612244898,98,0.6216326530612245
7.5,7,0.7142857142857143,7,0.7000000000000001
8.0,98,0.7040816326530612,98,0.6775510204081632
8.5,35,0.5714285714285714,35,0.4814285714285715
9.0,98,0.6224489795918368,98,0.6224489795918368
9.5,98,0.6020408163265306,98,0.5714285714285714
10.0,98,0.7653061224489796,98,0.7081632653061224
