difficulty,n_pass,pass_rate,n_score,mean_score
5.0,98,0.37755102040816324,98,0.7069387755102041
5.5,98,0.46938775510204084,98,0.7066836734693878
6.0,98,0.6632653061224489,98,0.7534693877551021
6.5,98,0.3469387755102041,98,0.6561224489795918
7.0,98,0.25510204081632654,98,0.6243877551020408
7.5,7,0.5714285714285714,7,0.7164285714285714
8.0,98,0.3877551020408163,98,0.6614285714285714
8.5,35,0.11428571428571428,35,0.4337142857142857
9.0,97,0.31958762886597936,98,0.6051530612244898
9.5,98,0.336734693877551,98,0.5422448979591836
10.0,98,0.5816326530612245,98,0.7256122448979592
