difficulty,n_judges,pass_rate,mean_score
5.0,4,0.5082258577544585,0.6983500497063326
5.5,4,0.5745223621363439,0.7143651722984277
6.0,4,0.7374237323795497,0.7541706597587489
6.5,4,0.4556665449685029,0.6500541451072828
7.0,4,0.37484529554162593,0.582004544005102
7.5,4,0.49642857142857144,0.7008482142857143
8.0,4,0.5011546723952739,0.6683104894500173
8.5,4,0.23857142857142855,0.43907142857142856
9.0,4,0.43193772354302545,0.5994965655319504
9.5,4,0.44081632653061226,0.5428525778732546
10.0,4,0.6530822638333684,0.723719301279834
