difficulty,n_judges,pass_rate,mean_score
5.0,3,0.5278760228996645,0.6858702417137067
5.5,3,0.5755536257056014,0.6931972789115646
6.0,3,0.7165649765060663,0.7386997685672206
6.5,3,0.49481029525212145,0.6534620239848516
7.0,3,0.41521661296097384,0.5979591836734693
7.5,3,0.5952380952380952,0.684047619047619
8.0,3,0.5253490870032224,0.652125850340136
8.5,3,0.30476190476190473,0.4477619047619048
9.0,3,0.45686934567641485,0.5932631802721088
9.5,3,0.4591836734693877,0.5468034371643394
10.0,3,0.6517287327302054,0.7029251700680271
