difficulty,n_pass,pass_rate,n_score,mean_score
5.0,56,0.9821428571428571,56,0.8714285714285713
5.5,56,0.9285714285714286,56,0.9080357142857143
6.0,56,1.0,56,0.9375
6.5,56,0.9285714285714286,56,0.8946428571428572
7.0,56,0.9464285714285714,56,0.8173214285714285
7.5,4,1.0,4,0.875
8.0,56,0.9642857142857143,56,0.8714285714285713
8.5,20,0.7,20,0.6599999999999999
9.0,56,0.9464285714285714,56,0.8267857142857142
9.5,56,0.9464285714285714,56,0.7928571428571428
10.0,56,0.9821428571428571,56,0.8821428571428571
